"coupon_count","age","income","home_ownership","marital_status","household_size","household_comp","kids_count"
"high","45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","25-34","50-74K",NA,"Married","5+","2 Adults Kids","3+"
"high","45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"low","25-34","50-74K",NA,"Married","2","1 Adult Kids","1"
"high","35-44","75-99K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"low","65+","125-149K",NA,"Unmarried","2","2 Adults No Kids","0"
"high","35-44","25-34K","Homeowner","Married","3","2 Adults Kids","1"
"high","25-34","15-24K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","25-34","125-149K","Homeowner","Married","3","2 Adults Kids","1"
"high","45-54","100-124K","Homeowner","Married","2","2 Adults No Kids","0"
"high","65+","Under 15K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","15-24K",NA,NA,"3","2 Adults Kids","1"
"high","45-54","150-174K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","19-24","Under 15K","Probable Renter","Unmarried","1","1 Adult No Kids","0"
"high","35-44","50-74K","Homeowner","Married","3","2 Adults Kids","1"
"high","19-24","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
"low","45-54","50-74K","Homeowner","Unmarried","5+","1 Adult Kids","3+"
"high","35-44","125-149K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","35-44","125-149K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","35-44","25-34K","Homeowner","Married","2","2 Adults No Kids","0"
"high","45-54","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
"low","35-44","175-199K","Homeowner","Married","5+","2 Adults Kids","3+"
"high","45-54","50-74K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","45-54","25-34K","Homeowner","Unmarried","2","2 Adults No Kids","0"
"low","65+","15-24K","Homeowner","Married","2","1 Adult Kids","1"
"high","35-44","75-99K","Homeowner","Married","3","2 Adults Kids","1"
"high","25-34","150-174K","Homeowner",NA,"2","2 Adults No Kids","0"
"low","45-54","75-99K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","35-44","25-34K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","45-54","35-49K","Homeowner","Unmarried","1","1 Adult No Kids","0"
"high","35-44","50-74K","Homeowner","Married","2","2 Adults No Kids","0"
"low","35-44","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","45-54","75-99K","Homeowner","Married","3","2 Adults Kids","1"
"high","45-54","35-49K",NA,"Unmarried","1","1 Adult No Kids","0"
"high","25-34","50-74K","Homeowner",NA,"2","2 Adults No Kids","0"
"high","25-34","Under 15K",NA,NA,"3","2 Adults Kids","1"
